ENSG00000000419	0.0445294117647059 0.211549019607843 0.531000598802395 0.424862745098039 0.611498065229409 2.04164371840348 0.10243137254902
ENSG00000000457	0.0535882352941176 0.226607843137255 0.894543701799486 0.401823529411765 0.0492801771871532 0.462717637066607 0.0513725490196078
ENSG00000000460	0.00347058823529412 0.138705882352941 0.113757071547421 0.395392156862745 0.216347646145865 0.264342177649747 0.0205686274509804
ENSG00000000938	0.0311764705882353 0.451470588235294 1.01692735042735 0.53243137254902 0.300485698866708 2.43617081549439 0.159764705882353
ENSG00000000971	0.0284901960784314 0.059078431372549 0.400330508474576 0.354607843137255 0.073759647188538 0.0957975358043854 0.0120196078431373
ENSG00000001036	0.034078431372549 0.184176470588235 0.204359270516717 0.392019607843137 0.186267995570304 0.557499931121305 0.0621176470588235
ENSG00000001084	0.00294117647058824 0.20443137254902 0.555938726790451 0.410117647058824 0.599889563776917 0.974213611254155 0.0218627450980392
ENSG00000001167	0.0417647058823529 0.245333333333333 0.838756446991404 0.407176470588235 0.0263711911357356 1.47838342442207 0.122686274509804
ENSG00000001460	0.0201372549019608 0.304686274509804 0.234933333333333 0.428960784313725 0.29323882224645 0.369252913778936 0.0578235294117647
ENSG00000001461	0.0284509803921569 0.241764705882353 0.862403440366973 0.446980392156863 0.18459858001092 0.396027840856771 0.044156862745098
ENSG00000001561	0.0350980392156863 0.104294117647059 0.120083146067416 0.372294117647059 0.465556152606125 -0.50514430738009 0.0422745098039216
ENSG00000001617	0.0672941176470588 0.523352941176471 0.582062807017544 0.576098039215686 0.0550567874526756 0.957328797387698 0.196313725490196
ENSG00000001626	0.0269411764705882 0.080078431372549 0.671454081632653 0.350117647058824 0.0463481603514331 1.25943391752935 0.0547450980392157
ENSG00000001629	0.019078431372549 0.0437254901960784 0.204101731601732 0.351666666666667 0.0243982494529555 2.06311492684051 0.05
ENSG00000001630	0.0544509803921569 0.165137254901961 0.734949079754601 0.404627450980392 0.00760043431053746 0.273611029451358 0.0723137254901961
ENSG00000001631	0.0433921568627451 0.0895686274509804 0.353085433070866 0.369254901960784 0.00858085808581203 1.84415149624333 0.0795490196078431
ENSG00000002016	0.0147058823529412 0.162764705882353 1.04478536036036 0.449352941176471 0.0821722435545803 0.755706290412545 0.0245294117647059
ENSG00000002330	0.150745098039216 0.457705882352941 0.879591129032258 0.585764705882353 0.0433388612493023 1.69632430536042 0.183725490196078
ENSG00000002549	0.0337058823529412 0.19421568627451 0.413869739952719 0.452803921568627 0.174696132596686 0.203050841495162 0.037078431372549
ENSG00000002587	0.0181176470588235 0.357470588235294 0.314802207505519 0.426823529411765 0.286555555555555 1.13994528357472 0.0556470588235294
ENSG00000002726	0.0453529411764706 0.374686274509804 0.19383164556962 0.464745098039216 0.586730872124143 -0.699979724862063 0.0394901960784314
ENSG00000002745	0.0270588235294118 0.189 0.422916666666666 0.388823529411765 0.146666666666672 1.28670404826967 0.103254901960784
ENSG00000002746	0.00398039215686275 0.171274509803922 0.287574390243902 0.41 0.325013683634366 0.237857780023814 0.0238627450980392
ENSG00000002822	0.00388235294117647 0.564803921568627 1.02936097972973 0.544254901960784 0.0135330005546312 1.631496080596 0.0428235294117647
ENSG00000002834	0.0172352941176471 0.478078431372549 1.10703581395349 0.538509803921569 0.362930077691452 0.319998992967534 0.0794901960784314
ENSG00000002919	0.0191764705882353 0.267274509803922 0.55014811827957 0.470019607843137 0.0177117711771116 0.376281802934892 0.0864313725490196
ENSG00000002933	0.0300588235294118 0.332921568627451 0.185003404255319 0.452039215686275 0.513308784850075 -0.112960916977214 0.0174313725490196
ENSG00000003056	0.0790588235294118 0.222196078431373 0.575558974358975 0.424823529411765 0.348204570184984 0.163571278041179 0.0987450980392157
ENSG00000003137	0.0331764705882353 0.512 0.247836187845304 0.541372549019608 0.29492635024549 1.66341157522788 0.151274509803922
ENSG00000003147	0 0.167039215686275 0.42788630952381 0.386588235294118 0.960607704829082 0.587070451855103 0.0597450980392157
